mcc,description,classification
3197,HAVASU AIRLINES,Pre-Approval
3198,Airlines,Pre-Approval
3199,Airlines,Pre-Approval
3200,FUYANA AIRWAYS,Pre-Approval
3201,Airlines,Pre-Approval
3202,Airlines,Pre-Approval
3203,GOLDEN PACIFIC AIR,Pre-Approval
3204,FREEDOM AIR,Pre-Approval
3205,Airlines,Pre-Approval
3206,Airlines,Pre-Approval
3207,Airlines,Pre-Approval
3208,Airlines,Pre-Approval
3209,Airlines,Pre-Approval
3210,Airlines,Pre-Approval
3211,Airlines,Pre-Approval
3212,DOMINICANA,Pre-Approval
3213,Airlines,Pre-Approval
3214,Airlines,Pre-Approval
3215,DAN AIR SERVICES,Pre-Approval
3216,CUMBERLAND AIRLINES,Pre-Approval
3217,CSA,Pre-Approval
3218,CROWN AIR,Pre-Approval
3219,COPA,Pre-Approval
3220,COMPANIA FAUCETT,Pre-Approval
3221,TRANSPORTES AEROS MILITARES ECCUATORANOS,Pre-Approval
3222,COMMAND AIRWAYS,Pre-Approval
3223,COMAIR,Pre-Approval
3224,Airlines,Pre-Approval
3225,Airlines,Pre-Approval
3226,Airlines,Pre-Approval
3227,Airlines,Pre-Approval
3228,CAYMAN AIRWAYS,Pre-Approval
3229,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,Pre-Approval
3230,Airlines,Pre-Approval
3231,SASHA SERVICIO AERO DE HONDURAS,Pre-Approval
3232,Airlines,Pre-Approval
3233,CAPITOL AIR,Pre-Approval
3234,BWIA,Pre-Approval
3235,BROKWAY AIR,Pre-Approval
3236,Airlines,Pre-Approval
3237,Airlines,Pre-Approval
3238,BEMIDJI AIRLINES,Pre-Approval
3239,BAR HARBOR AIRLINES,Pre-Approval
3240,BAHAMASAIR,Pre-Approval
3241,AVIATECA (GUATEMALA),Pre-Approval
3242,AVENSA,Pre-Approval
3243,AUSTRIAN AIR SERVICE,Pre-Approval
3244,Airlines,Pre-Approval
3245,Airlines,Pre-Approval
3246,Airlines,Pre-Approval
3247,Airlines,Pre-Approval
3248,Airlines,Pre-Approval
3249,Airlines,Pre-Approval
3250,Airlines,Pre-Approval
3251,ALOHA AIRLINES,Pre-Approval
3252,ALM,Pre-Approval
3253,AMERICA WEST,Pre-Approval
3254,TRUMP AIRLINE,Pre-Approval
3255,Airlines,Pre-Approval
3256,ALASKA AIRLINES,Pre-Approval
3257,Airlines,Pre-Approval
3258,Airlines,Pre-Approval
3259,AMERICAN TRANS AIR,Pre-Approval
3260,Airlines,Pre-Approval
3261,AIR CHINA,Pre-Approval
3262,"RENO AIR, INC.",Pre-Approval
3263,Airlines,Pre-Approval
3264,Airlines,Pre-Approval
